userName,score,at,content
Dinda Nurfadilah,1,2026-05-05 09:06:28,gabisa dibuka
Haywel,1,2026-05-04 05:19:11,"Jujur untuk kali ini saya kecewa dengan pusat gadai . Karna saya jatuh tempo tggl 2 ,masih ada toleransi waktu sampai tggl 3. Sedangkan tggl 3 saya datang tutup. Dan sebelumnya saya juga tidak diberitahu klo misal 1 hari setelah jatuh tempo libur ,maka penebusannya keesokan harinya akan dikenakan denda 10%. Seharusnya ini menjadi point penting buat diingatkan ke customer. Saya coba pembayaran melalui aplikasi,ga bisa untuk pelunasan ,hanya bisa untuk perpanjang saja."
Novia Sri Damayanti,1,2026-05-02 13:42:59,ngebug ini aplikasi ?????
Ai Ai999,5,2026-05-02 03:14:13,pelanyanan cepat saya puass
Ladang Rekening,1,2026-05-01 09:32:09,"sangat kecewa sekali karena pas di gadaikan barang di cek tidak ada masalah, namun pas mau di ambil malah mati HP nya dan tidak ada pertanggung jawaban untuk perbaikan cabang kepala area pun malah tidak ada solusi yang sama sama menguntungkan kedua pihak"
Zulfikar EL-Abror,5,2026-04-30 12:26:02,TOP banget pokoknya
Cahyo Cah,1,2026-04-30 10:50:27,kurang.
Sopia Cantik,1,2026-04-30 03:00:44,taik customer nya gak ngingetin jatuh tempo kapok gadai hp disini malingping lebak banten taik
Heri Busaeri,5,2026-04-29 14:26:21,pelayanan baik dan proses mudah
Septya Dewi,1,2026-04-29 01:39:49,APK nya gak bisa dibuka lho kenapa ini ga mau di bayar kah cicilannya?
Deni Herdiana,1,2026-04-28 08:42:49,"bunga nya tinggi , ada pinalti keterlambatan 3 bulan 500rb . pinjam nya 1,5jt tebus 3bulan 3jt . ngerii kapok pinjam disini."
Achmad Firdaus,1,2026-04-28 03:27:40,"Respon lambat ketika menanyakan sesuat di whats app , padahal pas di kantor nya kalau ada yang di pertanyakan hubungi nomor tersebut tapi respon nya lamabat bngt"
Jairin Huja,1,2026-04-26 12:42:56,bpkb telat sehari bunga nya luar biasa
Deden Setiadi,5,2026-04-23 09:08:28,terbaik
Erina Erina,1,2026-04-21 09:17:42,tidak bisa login payah sudah verifikasi malah balik. lagi ke awal pas di buka aplikasi eror nih
Rudi Alfaruq,5,2026-04-19 05:12:30,Terpercaya aman dan cepat
Kevin Prasetyo,1,2026-04-18 13:45:58,kecewa nebus hp. tp hp nya jdi pada lecet kaya bekas dipakai sma orang lain
samsul maarif,1,2026-04-18 06:21:38,"ada kelalaian dalam nyimpan barang customer, anti gores hp saya rusak waktu nebus,walau di ganti tidak sesuai dengan khulitas dengan yang sebelumnya sudah terpasang"
Romi Romansyah,5,2026-04-18 01:50:34,proses cepat
Mamen Sulme,5,2026-04-17 02:43:24,lumayan buat nyambung
Untung Situmorang channel,5,2026-04-16 18:31:39,good
onong sio,1,2026-04-15 12:38:50,"sangat kecewa sama PEGADAIAN ini kebanyakan bicara panjang kali lebar disuruh nunggu , 3 bulan kemarin masih bisa sekarang malah gk bisa...coba tolong teller nya di kasih alat untuk pengecekan teliti bisa atau tidak , jangan udah dirinciin DISURUH NUNGGU tiba² DITOLAK , memang betul smartwatch samsung fit 3 saya murah tapi jangan di cantumin di aplikasi , lebih baik di tolak dari awal dari pada harus nunggu. lokasi ( PGI jalan kamal raya 15 & 16 Cengkareng BARAT ) TERIMA KASIH !!"
